Antigo endereco: cep = b01.10, Numero = 60, Complemento = ap-1097
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b09.8, Numero = 20, Complemento = -
Antigo endereco: cep = b010.1, Numero = 20, Complemento = -
Antigo endereco: cep = b02.1, Numero = 100, Complemento = ap-540
Antigo endereco: cep = b03.5, Numero = 40, Complemento = -
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b06.4, Numero = 70, Complemento = -
Antigo endereco: cep = b06.10, Numero = 10, Complemento = -
Antigo endereco: cep = b06.3, Numero = 40, Complemento = ap-179
Antigo endereco: cep = b02.8, Numero = 50, Complemento = -
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b07.7, Numero = 30, Complemento = -
Antigo endereco: cep = b07.3, Numero = 60, Complemento = ap-172
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b08.3, Numero = 10, Complemento = -
Antigo endereco: cep = b03.4, Numero = 20, Complemento = -
Antigo endereco: cep = b03.7, Numero = 30, Complemento = -
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b05.5, Numero = 10, Complemento = ap-865
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b09.8, Numero = 30, Complemento = -
Antigo endereco: cep = b07.1, Numero = 60, Complemento = -
Antigo endereco: cep = , Numero = 0, Complemento = 
Antigo endereco: cep = b09.9, Numero = 30, Complemento = -
Antigo endereco: cep = b03.4, Numero = 40, Complemento = ap-1371
CPF: 000.000.121-06,Nome: Zelia_Fernanda ,Sobrenome: Vacadinski_Marini,Sexo: F, Nascimento: 27/3/2022 
CEP: nao encontrado
CPF: 000.006.951-57,Nome: Cipriano_Brunswichk ,Sobrenome: Abadzhiew_Ferrara,Sexo: M, Nascimento: 14/10/2005 
CEP: nao encontrado
CPF: 000.002.981-58,Nome: Kas_Martijn ,Sobrenome: Caputo_Campos,Sexo: M, Nascimento: 19/9/1986 
CEP: nao encontrado
CPF: 000.001.551-28,Nome: Gisela_Silena ,Sobrenome: Ruggiero_Kabacchiw,Sexo: F, Nascimento: 12/7/2012 
CEP: nao encontrado
CPF: 000.005.881-56,Nome: Larissa_Josefa ,Sobrenome: Rossi_Messina,Sexo: F, Nascimento: 27/1/1987 
CEP: nao encontrado
